gender,party,race,age_at_year_end
Female,Republican,White,68
Male,Unaffiliated,White,38
Male,Republican,White,64
Female,Republican,White,36
Male,Republican,White,69
Male,Unaffiliated,White,64
Female,Republican,White,62
Female,Democratic,White,25
Female,Democratic,White,83
Male,Republican,White,51
Female,Unaffiliated,White,64
Male,Unaffiliated,White,72
Female,Democratic,White,18
Male,Democratic,White,85
Male,Unaffiliated,White,26
Unspecified,Unaffiliated,White,29
Female,Democratic,White,22
Female,Unaffiliated,White,27
Female,Democratic,White,55
Unspecified,Democratic,White,24
Female,Democratic,White,69
Male,Republican,White,76
Male,Unaffiliated,White,65
Female,Democratic,White,66
Female,Democratic,White,29
Female,Unaffiliated,White,38
Male,Unaffiliated,White,34
Female,Unaffiliated,White,36
Male,Unaffiliated,White,38
Unspecified,Democratic,White,51
Female,Republican,White,37
Female,Unaffiliated,White,26
Female,Democratic,White,30
Female,Unaffiliated,White,56
Male,Unaffiliated,White,52
Female,Unaffiliated,White,65
Male,Republican,Other,67
Female,Unaffiliated,White,27
Female,Democratic,Black or African American,67
Male,Democratic,White,67
Female,Democratic,White,49
Male,Unaffiliated,White,22
Female,Democratic,Other,25
Male,Unaffiliated,White,29
Female,Republican,White,52
Unspecified,Democratic,Undesignated,43
Unspecified,Unaffiliated,Undesignated,30
Male,Democratic,White,30
Female,Democratic,Other,24
Female,Unaffiliated,Other,47
Male,Democratic,Two or more Races,64
Unspecified,Unaffiliated,Undesignated,29
Female,Unaffiliated,White,75
Unspecified,Unaffiliated,Undesignated,43
Male,Democratic,Undesignated,20
Female,Democratic,Undesignated,22
Female,Unaffiliated,Other,32
Female,Democratic,Undesignated,37
Female,Unaffiliated,Other,48
Female,Unaffiliated,Undesignated,21
Male,Republican,Other,49
Female,Democratic,Other,28
Female,Democratic,Other,20
Male,Democratic,Undesignated,22
Male,Unaffiliated,Undesignated,20
Male,Democratic,Black or African American,38
Male,Unaffiliated,White,69
Female,Democratic,White,37
Female,Democratic,White,52
Unspecified,Republican,White,64
Female,Democratic,White,27
Male,Democratic,White,22
Male,Unaffiliated,White,38
Female,Republican,White,33
Unspecified,Unaffiliated,White,26
Male,Unaffiliated,Other,31
Unspecified,Unaffiliated,Undesignated,38
Female,Unaffiliated,Other,78
Male,Democratic,Black or African American,70
Female,Democratic,White,77
Male,Republican,White,80
Unspecified,Democratic,White,57
Female,Democratic,White,74
Male,Democratic,Black or African American,52
Male,Democratic,White,27
Male,Unaffiliated,White,62
Male,Unaffiliated,White,43
Unspecified,Unaffiliated,Undesignated,26
Male,Unaffiliated,Undesignated,66
Female,Democratic,White,27
Female,Democratic,White,45
Female,Democratic,White,69
Male,Unaffiliated,Black or African American,40
Male,Unaffiliated,White,75
Unspecified,Democratic,Other,29
Male,Unaffiliated,White,41
Male,Unaffiliated,White,59
Female,Democratic,Undesignated,23
Male,Democratic,White,27
